,ACN,FNAME,LNM,TAXID,INC,EMAIL,PERS,DOB,SEX,MAD1,MAD2,MAD3,MZIP,MCITY,MSTATE,MCNTRY,AD1P,PAD2,PAD3,PZIP,PCITY,PSTATE,PCNTRY,BOO,RESCD
77,100630495232,David,Hamilton,501517248,61944,jason.hunter@mail.com,0,11.03.1980,MALE,Jonathan Pass,31,,35225,Bryantville,NY,US,Chang Manor,31,,45473,Wheatland,TX,US,2973,1
78,99999997952,Sarah,Fisher,608898688,65486,david.coulthard@mail.com,0,15.07.1991,MALE,Chang Manor,33,,38496,West Tammyfort,NY,US,Grasselli Street,32,76,47602,Tekoa,NJ,US,2290,1
79,101047394304,Second,Dixon,224652288,57706,jason.hunter@mail.com,0,19.06.1994,MALE,Hull Village Suite,16,38,5349,West Donald,WA,US,Honeysuckle Lane,30,1,75443,Washington,WA,US,2341,1
80,101054111744,John,Green,42348380,49999,mm@company.com,0,15.07.1991,MALE,Snider Street,27,,7631,Santa Monica,KY,US,Sullivan Tunnel,27,76,7643,Aberdeen,CA,US,4216,1
81,99999997952,Katherine,Wagner,498524960,54544,ryan.hamilton@mail.com,0,24.10.1990,FEMALE,Snider Street,472,,2327,Michigan,KS,US,Eagles Nest Drive,475,2,2327,Washington,VA,US,2116,1
82,99999997952,John,Hamilton,498524960,60174,jason.hunter@mail.com,0,11.07.1985,MALE,Archwood Avenue,21,21,17899,Wayne,CO,US,Jones Avenue,31,11,49941,Mcgregor,ND,US,2749,1
83,101355216896,Peter,Coulthard,224652288,62784,peter.bear@mail.com,0,06.08.1998,MALE,Faulkner Knolls,116,38,89395,New York,MI,US,Oakwood Avenue,110,,89413,Oak Hill,MI,US,979,1
84,99999997952,Second,Hamilton,42348380,46692,jorge.fangio@mail.com,0,13.12.1975,MALE,Christine Glen,3005,21,62340,Michigan,NJ,US,Wilson Avenue,92,,25740,Washington,NC,US,4138,2
85,101469151232,Robert,Hunter,42348380,60000,jonathan.green@mail.com,0,13.12.1975,FEMALE,Pheasant Ridge Road,132,,53972,Denver,KY,US,Honeysuckle Lane,2336,,51220,Michigan,CA,US,2022,1
86,199999995904,William,Hunter,872471488,1000000,second@company.com,1,10.06.1977,COMPANY,William Haven,1655,1,9803,Houston,FL,US,Red Bud Lane,569,1,24579,Denver,TX,US,9000,1
87,111698518016,Norma,Green,865506880,78617,david.coulthard@mail.com,0,01.01.2000,FEMALE,Red Bud Lane,25,,99847,Aberdeen,CO,US,Courtright Street,1,,54378,Michigan,OH,US,27,1
88,100329865216,Jorge,Company,42348380,60000,jennifer.woods@mail.com,0,11.04.2012,FEMALE,Marion Street,132,38,54140,Centennial,AL,US,Jessie Street,2307,,51214,Aberdeen,IN,US,2021,1
89,102023766016,Jonathan,Fisher,865506880,89551,ryan.hamilton@mail.com,0,10.06.1977,FEMALE,Marion Street,89,38,59515,Wenatchee,WA,US,Jessica Squares,89,,56906,Dallas,GA,US,120,1
90,99999997952,Norma,Smith,206276288,59765,second@company.com,0,27.04.1989,MALE,Ritter Street,3021,,67611,Bryantville,VT,US,Chang Manor,273,11,3478,West Donald,WA,US,5044,2
91,100674797568,Second,Green,224652288,49045,kayla.montgomery@mail.com,0,27.04.1989,FEMALE,Red Bud Lane,232,1,77044,Centennial,MS,US,Wilson Avenue,4705,,59357,Winston Salem,WA,US,1430,2
92,199999995904,Deanna,Montgomery,116369240,50000,john.smith@server.com,1,04.12.1980,COMPANY,Faulkner Knolls,35,21,84880,Santa Monica,NY,US,Hull Village Suite,97,11,99033,Danville,NJ,US,9000,1
93,101411176448,Jennifer,Company,325824448,75246,jason.hunter@mail.com,0,24.10.1990,FEMALE,William Haven,473,,69759,Denver,KS,US,Oakwood Avenue,736,1,58383,Wheatland,OH,US,988,1
94,199999995904,Kayla,Hamilton,872471488,1000000,jorge.fangio@mail.com,1,17.03.1980,COMPANY,Sullivan Tunnel,1745,,9868,Wayne,WY,US,Sullivan Tunnel,569,,23881,Aberdeen,IL,US,9000,1
95,101449293824,Jorge,Sullivan,224652288,59663,ryan.hamilton@mail.com,0,24.10.1990,MALE,Marion Street,16,1,5612,Huntsville,TX,US,Grasselli Street,30,,65120,Tekoa,MS,US,1111,1
96,100075266048,Katherine,Coulthard,222808912,48948,katherine.chang@mail.com,0,01.10.2022,FEMALE,Red Bud Lane,241,,73718,Fort Washington,KY,US,Eagles Nest Drive,4705,,58033,Tekoa,WA,US,1304,2
97,99999997952,Jason,Chang,224652288,57919,peter.bear@mail.com,0,11.07.1985,MALE,Hummingbird Way,16,8,5313,West Donald,NJ,US,Courtright Street,30,1,74648,Hullport,WA,US,2326,1
98,99999997952,Third,Richard,224652288,57906,deanna.wagner@mail.com,0,13.12.1975,MALE,Marion Street,16,,5343,Mountain View,VT,US,Courtright Street,30,,75272,Denver,VA,US,2348,1
99,99999997952,Robert,Smith,42348380,44002,robert.fisher@mail.com,0,10.06.1977,MALE,Hummingbird Way,1951,,93965,New York,PA,US,Jonathan Pass,2894,,93652,West Donald,TX,US,2021,1
